term,n,freq,doc_freq,PMI,LRent,in_reference,status
tài chính năm,3,6,6,6.218,10.281,False,new
lớn nhất hiện,3,3,3,6.196,9.989,False,new
nhất hiện nay.,3,5,5,7.985,9.39,False,new
Con số này,3,12,11,9.728,8.504,False,new
số này đã,3,5,5,4.84,9.494,False,new
này đã tăng,3,6,6,5.389,9.553,False,new
đã tăng lên,3,6,6,6.187,11.187,False,new
lên so với,3,4,4,6.142,11.198,False,new
với kết quả,3,10,10,6.983,10.532,False,new
kết quả khảo,3,3,3,9.468,8.751,False,new
quả khảo sát,3,3,3,11.089,6.575,False,new
sự gia tăng,3,11,11,6.879,8.688,False,new
tiếp tục là,3,11,11,6.854,10.405,False,new
tục là những,3,3,3,4.265,6.524,False,new
mối đe dọa,3,13,10,16.823,6.881,False,new
đe dọa lớn,3,3,3,13.601,6.459,False,new
lớn đối với,3,6,6,6.294,10.845,False,new
với kinh tế,3,5,3,6.283,10.955,False,new
lo lắng về,3,8,7,11.264,9.879,False,new
chính trị và,3,5,5,5.782,12.029,False,new
và an ninh,3,4,3,8.932,10.062,False,new
tăng lên trong,3,4,4,5.56,9.826,False,new
trong hai năm,3,3,2,4.638,11.595,False,new
năm trở lại,3,15,15,6.842,10.03,False,new
trở lại đây.,3,5,5,9.432,9.055,False,new
các cuộc tấn,3,3,3,7.77,8.432,False,new
cuộc tấn công,3,7,5,8.904,7.686,False,new
cho các doanh,3,18,14,5.353,9.297,False,new
các doanh nghiệp,3,90,49,8.381,10.222,False,new
cầu đối với,3,4,4,6.197,8.632,False,new
với thị trường,3,7,7,6.043,10.918,False,new
thị trường Mỹ,3,8,8,9.125,8.926,False,new
cho môi trường,3,4,4,6.949,11.402,False,new
môi trường kinh,3,12,8,9.438,5.881,False,new
trường kinh doanh,3,14,12,8.069,5.767,False,new
tại quốc gia,3,8,6,7.169,11.024,False,new
quốc gia này,3,7,5,6.934,9.346,False,new
trở nên dễ,3,8,8,9.316,8.019,False,new
nên dễ dàng,3,8,8,11.01,8.261,False,new
cạnh tranh giữa,3,4,4,10.078,7.389,False,new
tranh giữa các,3,4,3,7.748,8.436,False,new
các công ty,3,62,33,7.443,10.038,False,new
nước ngoài đang,3,3,3,8.08,9.635,False,new
doanh nghiệp phải,3,6,6,7.107,9.536,False,new
phải thay đổi,3,7,7,8.269,8.842,False,new
thay đổi chiến,3,3,3,8.578,7.458,False,new
nhìn dài hạn,3,3,3,10.701,7.44,False,new
đã giảm xuống,3,6,6,8.633,10.029,False,new
giảm xuống chỉ,3,4,4,9.267,9.339,False,new
xuống chỉ còn,3,8,8,8.922,9.158,False,new
với quan điểm,3,5,5,5.468,10.868,False,new
bị đánh giá,3,6,5,7.678,8.383,False,new
hoàn thành nhiệm,3,6,4,9.163,8.42,False,new
thành nhiệm vụ,3,4,3,8.595,9.64,False,new
đánh giá và,3,6,6,5.901,11.204,False,new
"cán bộ, công",3,4,3,12.277,6.707,False,new
"bộ, công chức,",3,4,3,12.0,5.703,False,new
"công chức, viên",3,5,3,9.124,10.456,False,new
"chức, viên chức",3,4,3,10.616,5.439,False,new
có hiệu lực.,3,3,2,9.036,8.641,False,new
được đánh giá,3,96,72,9.006,10.287,False,new
hoàn thành xuất,3,4,3,7.225,8.83,False,new
thành xuất sắc,3,4,3,7.342,8.807,False,new
xuất sắc nhiệm,3,3,3,9.203,7.084,False,new
sắc nhiệm vụ,3,3,3,9.654,8.04,False,new
"chủ trương, chính",3,3,2,11.878,8.737,False,new
"trương, chính sách",3,3,2,12.45,5.602,False,new
chính sách của,3,5,4,6.045,11.377,False,new
sách của Đảng,3,3,2,10.118,4.073,False,new
pháp luật của,3,5,4,8.505,8.648,False,new
tốt và có,3,3,3,3.594,9.532,False,new
giải pháp cụ,3,3,2,9.662,7.342,False,new
pháp cụ thể,3,3,2,8.867,7.984,False,new
nâng cao hiệu,3,8,7,9.201,8.934,False,new
cao hiệu quả,3,9,7,8.771,9.659,False,new
hiệu quả hoạt,3,5,5,8.876,4.783,False,new
quả hoạt động,3,3,3,7.746,7.341,False,new
không thực hiện,3,5,5,5.557,10.707,False,new
của Nhà nước,3,3,3,6.926,11.437,False,new
cấp có thẩm,3,7,5,8.829,5.018,False,new
có thẩm quyền,3,11,8,10.404,9.986,False,new
làm việc của,3,8,8,4.873,11.304,False,new
"cơ quan, tổ",3,8,5,11.825,5.32,False,new
"quan, tổ chức,",3,6,3,14.136,5.426,False,new
ban hành Thông,3,4,2,10.701,6.158,False,new
hành Thông tư,3,4,2,9.644,8.839,False,new
một số điều,3,3,2,5.009,8.763,False,new
ngày làm việc,3,4,3,6.091,10.464,False,new
việc bình thường,3,3,2,8.277,8.399,False,new
sản phẩm của,3,59,45,6.934,10.706,False,new
theo quy định,3,23,17,9.854,10.611,False,new
quy định tại,3,9,7,8.23,9.737,False,new
Điều Bộ luật,3,6,2,12.295,8.559,False,new
Bộ luật Lao,3,3,3,15.141,4.858,False,new
luật Lao động,3,3,3,13.415,7.955,False,new
có hiệu lực,3,13,9,7.213,10.204,False,new
kể từ ngày,3,20,14,8.53,9.703,False,new
các chế độ,3,4,4,7.172,10.277,False,new
tại Thông tư,3,3,3,8.678,10.698,False,new
Thông tư này,3,3,2,8.56,8.837,False,new
được thực hiện,3,28,25,6.894,10.629,False,new
Nghị định số,3,6,5,9.955,8.991,False,new
định số của,3,3,3,4.448,9.385,False,new
của Chính phủ,3,13,12,9.189,10.652,False,new
hiệu lực từ,3,6,3,7.436,9.256,False,new
"sửa đổi, bổ",3,3,3,15.32,4.615,False,new
"đổi, bổ sung",3,3,3,15.268,4.322,False,new
xử phạt vi,3,4,4,13.251,6.624,False,new
phạt vi phạm,3,4,4,14.099,5.563,False,new
vi phạm hành,3,6,5,11.214,8.088,False,new
phạm hành chính,3,4,4,9.017,6.493,False,new
trong lĩnh vực,3,106,69,10.364,11.435,False,new
"quản lý, sử",3,9,4,12.288,5.59,False,new
"lý, sử dụng",3,6,4,10.347,7.49,False,new
sử dụng tài,3,7,5,8.185,7.729,False,new
nhà nước và,3,3,3,4.732,11.303,False,new
và thực hành,3,4,4,5.162,11.644,False,new
Theo Nghị định,3,3,3,10.341,10.987,False,new
với hành vi,3,6,3,7.456,8.929,False,new
có nguồn gốc,3,9,6,10.483,8.604,False,new
nguồn gốc từ,3,10,7,11.495,9.914,False,new
ngân sách nhà,3,8,4,10.399,8.156,False,new
sách nhà nước,3,6,4,8.559,6.698,False,new
sẽ bị phạt,3,4,3,9.14,8.474,False,new
nhà nước không,3,3,3,5.447,9.339,False,new
tài chính của,3,15,15,6.213,11.176,False,new
bổ sung quy,3,5,4,13.239,5.937,False,new
sung quy định,3,4,3,10.715,5.736,False,new
đến triệu đồng,3,7,4,7.301,10.008,False,new
trong sử dụng,3,4,3,5.682,11.8,False,new
sử dụng vốn,3,3,3,8.285,8.589,False,new
vốn đầu tư,3,20,14,9.39,9.493,False,new
quy định của,3,22,18,7.602,10.565,False,new
định của pháp,3,6,6,6.492,7.946,False,new
của pháp luật.,3,4,4,11.249,7.891,False,new
đi công tác,3,4,4,6.561,9.334,False,new
trong và ngoài,3,13,11,5.551,11.36,False,new
và ngoài nước,3,4,4,6.319,12.061,False,new
đối với hành,3,3,2,5.703,9.309,False,new
việc thực hiện,3,7,6,6.79,9.0,False,new
"khoa học, công",3,3,3,9.503,6.578,False,new
thực hiện các,3,27,21,6.843,10.592,False,new
các dự án,3,55,33,8.801,10.232,False,new
án sử dụng,3,5,3,8.241,7.254,False,new
dụng tài nguyên,3,4,3,8.928,5.54,False,new
trình đã được,3,3,3,4.032,9.086,False,new
được cơ quan,3,3,3,5.572,9.208,False,new
làm việc không,3,8,6,5.642,9.993,False,new
việc không quá,3,4,2,5.934,8.283,False,new
quy định thời,3,3,3,7.697,7.409,False,new
giờ làm việc,3,3,3,7.13,9.366,False,new
làm việc và,3,9,9,5.033,11.956,False,new
đối với người,3,17,14,5.86,9.951,False,new
với người lao,3,4,4,6.282,7.46,False,new
người lao động,3,31,11,9.199,9.939,False,new
lao động làm,3,3,3,7.989,8.448,False,new
các công việc,3,7,6,4.499,10.892,False,new
công việc có,3,3,3,3.577,9.883,False,new
có tính chất,3,5,5,6.486,8.47,False,new
đặc biệt trong,3,16,15,8.123,10.2,False,new
thời gian làm,3,10,8,7.586,9.46,False,new
gian làm việc,3,6,5,7.005,7.247,False,new
trong một ngày,3,4,3,3.738,11.93,False,new
và không quá,3,4,3,4.274,11.29,False,new
nhân viên và,3,8,5,5.804,11.099,False,new
trực tiếp trên,3,10,10,8.596,9.926,False,new
chế độ làm,3,3,3,8.16,8.308,False,new
thời gian nghỉ,3,5,4,9.628,7.664,False,new
nhân viên đang,3,3,3,6.977,9.409,False,new
có trách nhiệm,3,4,4,9.381,9.051,False,new
trình bảo vệ,3,3,3,9.418,6.537,False,new
về quản lý,3,5,5,8.345,10.646,False,new
quản lý dự,3,3,3,8.708,7.106,False,new
lý dự án,3,3,3,8.023,8.067,False,new
dự án đầu,3,8,6,7.805,8.561,False,new
án đầu tư,3,7,5,7.976,6.532,False,new
đầu tư xây,3,11,9,8.966,5.535,False,new
tư xây dựng,3,9,7,10.748,6.426,False,new
sẽ có hiệu,3,3,3,4.246,10.381,False,new
"Đáng chú ý,",3,19,17,16.021,7.005,False,new
định quy định,3,3,3,7.975,8.432,False,new
quy định rõ,3,5,2,9.837,7.917,False,new
trình xây dựng,3,4,3,9.705,7.749,False,new
nhằm bảo vệ,3,5,5,11.43,8.182,False,new
bảo đảm an,3,6,5,10.948,6.156,False,new
an ninh quốc,3,10,6,12.151,6.749,False,new
"ninh quốc gia,",3,6,6,13.291,4.276,False,new
có yêu cầu,3,4,4,6.749,10.341,False,new
triển khai xây,3,6,6,10.317,2.746,False,new
khai xây dựng,3,7,7,11.435,7.706,False,new
trực tiếp đến,3,10,10,8.446,10.231,False,new
sức khỏe và,3,16,10,8.999,11.097,False,new
tài sản của,3,26,14,6.68,11.176,False,new
không ảnh hưởng,3,4,4,6.96,9.564,False,new
Thủ tướng cho,3,3,3,10.24,9.223,False,new
cho phép người,3,29,25,8.057,11.395,False,new
quyết định đầu,3,8,6,7.823,7.632,False,new
định đầu tư,3,5,5,6.959,7.974,False,new
chủ đầu tư,3,19,6,8.789,9.566,False,new
chịu trách nhiệm,3,13,12,14.129,6.725,False,new
trách nhiệm về,3,4,4,10.501,8.818,False,new
thực hiện dự,3,6,6,7.116,8.12,False,new
hiện dự án,3,4,4,7.572,8.846,False,new
xây dựng và,3,6,6,7.982,10.797,False,new
hình thành trong,3,5,2,4.887,8.885,False,new
trong tương lai,3,33,31,9.905,9.862,False,new
cụ thể về,3,6,6,7.644,9.083,False,new
"bán, cho thuê",3,5,2,12.56,5.535,False,new
trong tương lai.,3,40,33,10.849,9.989,False,new
tương lai. Theo,3,8,8,11.506,9.726,False,new
khi thực hiện,3,9,8,6.538,10.17,False,new
thực hiện việc,3,4,4,6.32,10.862,False,new
đầu tư dự,3,5,4,7.011,7.752,False,new
tư dự án,3,5,4,8.515,6.905,False,new
dự án bất,3,5,5,8.738,7.736,False,new
án bất động,3,5,5,8.138,6.995,False,new
tuân thủ một,3,3,3,9.921,8.379,False,new
đủ điều kiện,3,13,12,10.082,8.897,False,new
điều kiện được,3,3,3,5.919,10.602,False,new
thuê mua theo,3,3,2,10.693,7.75,False,new
bàn giao nhà,3,3,2,9.093,8.534,False,new
hoạt động bảo,3,7,5,8.472,7.915,False,new
đến thời điểm,3,22,20,7.315,10.41,False,new
ngày kể từ,3,10,9,7.884,10.44,False,new
lực từ ngày,3,5,3,6.789,8.506,False,new
và thay thế,3,3,3,5.223,10.416,False,new
vào Việt Nam,3,13,8,6.691,10.788,False,new
đầu từ tháng,3,3,3,5.432,9.756,False,new
người nước ngoài,3,6,2,7.458,9.758,False,new
Việt Nam với,3,20,18,6.293,10.529,False,new
Nam với mục,3,3,3,5.903,4.584,False,new
với mục đích,3,14,14,9.857,9.56,False,new
Bên cạnh việc,3,7,7,9.436,10.875,False,new
việc cho phép,3,4,3,7.123,8.088,False,new
xe mô tô,3,3,3,10.438,8.65,False,new
theo Nghị định,3,3,3,9.901,10.611,False,new
được phép mang,3,3,3,7.329,8.968,False,new
đơn vị sự,3,5,3,8.028,9.731,False,new
vị sự nghiệp,3,5,3,7.071,8.841,False,new
sự nghiệp công,3,5,3,5.451,8.128,False,new
nghiệp công lập,3,3,2,6.895,6.341,False,new
thành công ty,3,7,7,6.442,9.384,False,new
ty cổ phần,3,30,23,10.312,5.459,False,new
của Thủ tướng,3,12,7,10.681,9.617,False,new
Thủ tướng Chính,3,24,11,14.945,6.603,False,new
tướng Chính phủ.,3,5,3,15.578,2.933,False,new
Chính phủ. Quyết,3,3,3,15.751,6.057,False,new
phủ. Quyết định,3,3,3,14.264,6.11,False,new
Quyết định này,3,8,8,9.975,7.489,False,new
áp dụng cho,3,13,11,8.244,9.642,False,new
được chuyển đổi,3,4,4,6.581,10.154,False,new
phí hoạt động,3,11,11,9.394,7.008,False,new
trong năm gần,3,4,3,5.101,10.24,False,new
với thời điểm,3,6,6,5.365,10.868,False,new
Việc chuyển đổi,3,3,2,9.968,9.005,False,new
có thể thực,3,8,8,4.926,8.895,False,new
thể thực hiện,3,10,10,6.543,7.128,False,new
thực hiện theo,3,6,6,7.151,10.005,False,new
vốn nhà nước,3,9,3,8.896,9.637,False,new
nhà nước hiện,3,4,3,6.603,9.33,False,new
nước hiện có,3,5,4,5.287,9.206,False,new
phát hành thêm,3,3,2,7.84,9.702,False,new
thêm cổ phiếu,3,3,2,10.189,8.399,False,new
cổ phiếu để,3,8,3,9.161,10.061,False,new
tăng vốn điều,3,3,2,8.092,8.814,False,new
"vốn điều lệ,",3,9,5,12.783,7.299,False,new
bán cổ phần,3,3,3,8.336,9.552,False,new
bản công bố,3,3,3,6.986,8.575,False,new
công bố thông,3,4,3,6.935,8.48,False,new
bố thông tin,3,3,2,8.203,6.799,False,new
bị y tế,3,9,5,10.314,9.046,False,new
của rất nhiều,3,13,13,5.252,11.953,False,new
cả cá nhân,3,3,3,8.019,8.691,False,new
cá nhân và,3,9,9,6.976,11.452,False,new
và tổ chức,3,12,11,7.161,11.947,False,new
tổ chức trong,3,9,6,7.32,8.887,False,new
Điều ấn tượng,3,3,3,10.34,9.388,False,new
ấn tượng của,3,12,11,7.995,10.116,False,new
những thăng trầm,3,5,5,11.635,7.643,False,new
mà công ty,3,3,3,6.0,10.79,False,new
công ty này,3,22,16,7.264,9.802,False,new
này mang lại,3,7,7,6.66,10.802,False,new
mang lại cho,3,19,17,6.971,10.6,False,new
bất ngờ xuất,3,6,6,9.938,8.86,False,new
ngờ xuất hiện,3,6,6,8.954,5.763,False,new
xuất hiện công,3,4,4,5.562,7.264,False,new
hoạt động bình,3,4,4,8.166,8.075,False,new
một văn bản,3,3,3,6.894,9.458,False,new
khi cổ phiếu,3,7,6,9.122,9.256,False,new
cuối cùng của,3,30,27,7.664,10.509,False,new
cổ đông của,3,4,4,7.508,10.538,False,new
