term,n_words,freq,doc_freq,PMI,LRent,in_reference,status
容克 贵族 统治,3,3,3,22.394,3.15,False,new
求胜欲 溢出 固然,3,3,3,22.383,2.224,False,new
智库 知华 讲堂,3,6,6,22.365,3.074,False,new
语词根 homos 表,3,4,4,22.361,2.588,False,new
帕博利 珠单 抗,3,4,2,22.361,3.644,False,new
化肥 农药 减量,3,4,4,22.36,2.835,False,new
队友 结伴 陪游,3,3,3,22.348,2.23,False,new
隐瞒 服刑 入狱,3,3,3,22.334,2.18,False,new
轻快 跃 堵住,3,3,3,22.309,2.057,False,new
同源 共祖 神话,3,4,4,22.291,3.566,False,new
灾 应变局 化危机,3,3,3,22.291,2.889,False,new
长久期 坚冰 回溯,3,3,3,22.291,3.104,False,new
特 铁路桥 隧道,3,4,4,22.287,4.07,False,new
参议院 乔什 霍利,3,3,3,22.26,2.588,False,new
德清 淡水 珍珠,3,3,3,22.245,2.893,False,new
弗里德里希言辞 恳切 详细,3,3,3,22.245,2.786,False,new
贷款率 拨备 覆盖率,3,4,3,22.242,2.631,False,new
乔治 里弗斯 饰演,3,4,2,22.237,3.296,False,new
钻孔 打井 采集,3,4,2,22.222,3.675,False,new
看见 鳕鱼 Lc0,3,3,3,22.222,2.391,False,new
明尼苏达州 新乌尔姆 附近,3,3,3,22.215,2.413,False,new
志气 骨气 底气,3,3,2,22.186,2.868,False,new
立项 样机 制备,3,3,3,22.18,3.68,False,new
榆 中北 山区,3,8,2,22.151,4.056,False,new
许其亮 沈跃跃 王毅,3,4,4,22.151,2.798,False,new
入手 盯住 元旦,3,3,3,22.142,4.214,False,new
铅迁 移量 检测值,3,6,2,22.138,2.414,False,new
派驻 内亚姆茨省 办事处,3,6,6,22.137,3.679,False,new
https doi org,3,4,4,22.137,2.775,False,new
无水港 里海 沿岸,3,4,4,22.12,2.161,False,new
叫 大麦克 Gros,3,4,4,22.117,3.417,False,new
本杰明 ·哈里森 任命,3,3,3,22.117,3.482,False,new
秘書 長王一彪 陪同,3,3,3,22.096,3.18,False,new
筑 牢信 仰,3,5,5,22.091,2.833,False,new
霍尔果斯 慧鑫达 建材,3,3,3,22.078,2.23,False,new
•馬路 伢子 團隊,3,4,2,22.068,2.839,False,new
科威特 选资 劳动者,3,4,2,22.068,3.924,False,new
偏 微分 方程,3,4,2,22.068,3.873,False,new
中级 会计师 1990年,3,3,3,22.068,4.498,False,new
皮 肉 骨头,3,4,4,22.062,2.149,False,new
Dommaraju Gukesh 失去,3,3,3,22.052,3.045,False,new
师范学院 人事处 递交,3,4,4,22.04,2.207,False,new
求情 信前 刚刚,3,3,3,22.04,3.426,False,new
大學 微拍 •馬路,3,4,2,22.037,2.767,False,new
新篇章 岭南 四月,3,3,3,22.033,3.121,False,new
顾问 胡安 安德烈斯,3,6,6,22.028,2.721,False,new
秘书局 综合处 处长,3,3,3,22.014,2.374,False,new
单口径 射电 望远镜,3,4,2,22.004,3.662,False,new
大道 斗 罢,3,3,3,22.004,3.283,False,new
股东 自当 季初,3,3,3,22.004,2.623,False,new
地下水 漏斗区 重金属,3,3,3,21.999,3.138,False,new
估值 PE TTM,3,3,3,21.992,2.677,False,new
校长 迪亚内利斯 加西亚,3,6,6,21.983,2.57,False,new
黑土区 侵蚀沟 南方,3,3,3,21.98,2.669,False,new
叶子 斑驳 植物,3,4,4,21.968,3.018,False,new
显现 固 收类,3,3,3,21.96,2.361,False,new
长久 期政 金债,3,3,3,21.957,3.26,False,new
尚品 商务服务 有限,3,3,3,21.946,2.115,False,new
结伴 陪游 慢慢,3,3,3,21.943,3.797,False,new
餐 饮 用具,3,4,2,21.939,3.064,False,new
课题 常修 常炼,3,3,3,21.935,3.832,False,new
一再 叮嘱 树牢,3,3,3,21.935,3.447,False,new
知华 讲堂 顾问,3,6,6,21.91,2.812,False,new
1995年 世贸组织协定 全称,3,3,3,21.906,2.284,False,new
驱逐 妖 魔,3,4,4,21.902,3.56,False,new
課程 舉辦 趣味,3,4,4,21.9,2.815,False,new
大门 无水港 里海,3,4,4,21.888,3.945,False,new
云南省 玉溪市 新平县,3,4,4,21.886,2.727,False,new
得出 赢棋 概率,3,3,3,21.886,3.861,False,new
强制 同化 余论,3,3,3,21.886,3.04,False,new
肉 蛋 奶,3,8,7,21.87,3.474,False,new
外交部 北美洲 大洋洲司,3,4,2,21.87,3.623,False,new
东鸡 产自 青海,3,4,4,21.855,2.183,False,new
奥密克 戎毒 株,3,3,3,21.855,4.195,False,new
海 东鸡 产自,3,4,4,21.839,3.584,False,new
珠宝 玉石 首饰,3,5,4,21.832,4.022,False,new
韩 芳 刘红霞,3,4,4,21.804,2.624,False,new
借助 網絡 發聲,3,4,4,21.797,2.617,False,new
仲裁委 裁令 忻州,3,4,4,21.79,2.033,False,new
股长 股长 1985年,3,3,3,21.79,2.826,False,new
人人 事事 时时,3,3,3,21.789,3.206,False,new
快棋 执黑 击败,3,3,3,21.78,3.673,False,new
植 手指 再造,3,4,4,21.752,2.553,False,new
邮政 检查员 特权,3,3,3,21.752,4.765,False,new
蔬果 瓜豆 物种,3,4,4,21.745,2.596,False,new
广东 汕头 开埠,3,3,3,21.734,3.017,False,new
1962年 1963年 1978年,3,3,3,21.734,3.21,False,new
财政司 司长 陈茂波,3,5,5,21.732,2.003,False,new
热带 第4型 TR4,3,4,4,21.732,3.094,False,new
杂交 科尼 什鸡,3,4,4,21.732,2.903,False,new
议员 理查德 巴托尔德,3,3,3,21.732,2.663,False,new
娄山关 腊子口 回答,3,3,3,21.725,3.205,False,new
秦川 锌品 有限,3,4,2,21.723,2.808,False,new
丝路 明珠 撒马尔罕,3,4,4,21.716,3.022,False,new
有线电视 新闻网 CNN,3,4,4,21.703,2.122,False,new
大學 華東 溫暖,3,4,2,21.7,3.46,False,new
蓝天 碧水 净土,3,3,3,21.7,3.173,False,new
伦敦 布伦特 原油,3,3,3,21.7,3.659,False,new
自民党 干事长 森山裕,3,4,2,21.692,3.191,False,new
BBC Radio 频道,3,4,4,21.681,4.173,False,new
兰州 商学院 学生处,3,3,3,21.681,2.199,False,new
七国集团 广岛 峰会,3,3,2,21.679,3.718,False,new
搬迁 治污 复绿,3,3,3,21.678,3.667,False,new
三令五申 顶风 违纪,3,3,3,21.663,2.592,False,new
民族主义 意识形态 推波助澜,3,3,3,21.657,2.37,False,new
务必 谦虚谨慎 艰苦奋斗,3,5,5,21.647,2.296,False,new
手部 显微 手术,3,4,4,21.634,2.661,False,new
阿根廷 圣地亚哥 德尔埃斯特,3,6,6,21.626,2.073,False,new
土豆 晚疫病 暴发,3,4,4,21.616,3.914,False,new
冰 激凌 显得,3,3,3,21.616,5.085,False,new
这时候 地处 塞北,3,4,4,21.587,2.292,False,new
柏林 特使 菲尔普斯,3,3,3,21.586,2.75,False,new
久期 微调 券种,3,3,3,21.586,3.197,False,new
久期 分层 +券,3,3,3,21.586,2.098,False,new
获任 荣昌 区委,3,4,4,21.582,3.522,False,new
1字头 存款 搬,3,3,3,21.582,2.154,False,new
居安思危 未雨绸缪 敢于,3,3,3,21.58,3.051,False,new
办事 急功近利 急于,3,3,3,21.577,4.098,False,new
爱因斯坦 广义 相对论,3,3,3,21.572,2.929,False,new
泰国 香米 稻花,3,4,4,21.567,3.192,False,new
香蕉 枯萎 坏死,3,4,4,21.557,2.76,False,new
棋理 只争 输,3,3,3,21.557,3.299,False,new
北方 农牧 交错区,3,4,4,21.552,3.087,False,new
大使 沙赫拉特 努雷舍夫,3,4,4,21.548,2.738,False,new
壮丽 莽莽 高原,3,4,4,21.542,4.059,False,new
霸权 霸凌 行径,3,5,5,21.535,3.39,False,new
剁 碎 然后,3,4,4,21.529,3.753,False,new
原研Bcl 抑 制剂,3,4,2,21.529,2.352,False,new
新知 栏目 特约,3,3,3,21.529,2.049,False,new
马斯克 Elon Musk,3,3,3,21.514,2.64,False,new
华北 明珠 重现,3,6,6,21.513,3.572,False,new
雇主 接到 匿名,3,3,3,21.493,2.534,False,new
正风 肃纪 反腐,3,3,3,21.491,3.048,False,new
问世 弹指一挥间 第八,3,3,3,21.486,3.89,False,new
微型鸡 茶花鸡 海南,3,4,4,21.48,2.999,False,new
提到 自特朗普 0以,3,3,3,21.479,3.203,False,new
碧水 豪庭 房产,3,4,2,21.478,3.694,False,new
支教 期間 志願者,3,4,4,21.475,3.172,False,new
所在地 河南省 商水县,3,3,3,21.475,2.737,False,new
外交官 威廉 菲尔普斯,3,3,3,21.475,2.916,False,new
积分 稍 逊,3,3,3,21.466,2.539,False,new
秘书 赫伯特 俾斯麦,3,3,3,21.466,3.399,False,new
广场 起水 游程,3,5,5,21.452,3.955,False,new
中共 一大 会址,3,3,3,21.444,3.729,False,new
畜禽 粪污 资源化,3,5,5,21.442,2.712,False,new
高原 藏区 巴塘,3,4,2,21.44,3.8,False,new
学堂 梁子 遗址,3,5,2,21.434,4.447,False,new
淡水 珍珠 复合,3,3,3,21.434,3.396,False,new
指标 飞人 乔丹,3,3,3,21.432,4.008,False,new
10年 国开 债,3,3,3,21.409,3.656,False,new
苗 付 一鸣,3,3,3,21.404,2.904,False,new
玩 象棋 变体,3,3,3,21.397,3.525,False,new
绿意 葱茏 取代,3,3,3,21.397,4.279,False,new
收盘 上证 综指,3,5,5,21.385,3.712,False,new
枣园 为人民服务 讲话,3,3,3,21.378,2.663,False,new
香蕉 叶子 斑驳,3,4,4,21.375,2.76,False,new
兵 行险 招,3,3,3,21.375,4.387,False,new
神经 电生理 专用,3,3,3,21.375,5.069,False,new
内而外 腐烂 失去,3,4,4,21.359,3.045,False,new
全市场 持有人 户数,3,3,3,21.344,3.23,False,new
固 收类 公募,3,3,3,21.344,2.131,False,new
整齐划一 口号 响亮,3,3,3,21.344,2.195,False,new
蛋 奶 消费量,3,4,4,21.339,3.258,False,new
真理 脚踏人间 正道,3,3,3,21.335,3.764,False,new
明珠 重现 光彩,3,6,6,21.331,2.376,False,new
中央政府 派驻 内亚姆茨省,3,6,6,21.331,2.386,False,new
水面 宽 水流急,3,3,3,21.329,2.672,False,new
净 调入省 筹集,3,3,3,21.324,4.228,False,new
考察团 团长 柬埔寨,3,6,6,21.31,2.771,False,new
增设 偏债型 REITs,3,3,3,21.31,4.195,False,new
埃菲尔 铁塔 附近,3,3,3,21.299,3.106,False,new
做市 信用债 ETF,3,6,3,21.296,2.037,False,new
身 良田 沃土,3,3,3,21.296,4.415,False,new
系司 某霞 朋友,3,3,3,21.293,3.508,False,new
F1 狂飙 飞车,3,10,4,21.288,2.778,False,new
日报 科技版 主编,3,6,6,21.284,4.367,False,new
搞 大水 漫灌,3,3,3,21.284,4.022,False,new
下属 临港科 投,3,3,3,21.284,5.36,False,new
学 有所教 劳有所,3,4,4,21.277,3.293,False,new
科 创园区 激活,3,3,3,21.275,4.875,False,new
這筆錢 志願者 們,3,4,4,21.262,2.171,False,new
期間 志願者 們,3,4,4,21.262,2.171,False,new
大麦克无力 招架 难以,3,4,4,21.241,4.22,False,new
WAIC 黑客 马拉松,3,3,2,21.241,4.22,False,new
助理 天安人 寿,3,3,3,21.241,3.745,False,new
疑惑 菜场 超市,3,4,4,21.227,3.856,False,new
置身 古典 园林,3,6,6,21.226,2.432,False,new
民建 工商 联界,3,3,3,21.217,2.069,False,new
紫色 T恤 头,3,3,3,21.214,3.099,False,new
高带 宽脑机 接口,3,3,3,21.209,3.461,False,new
期 亚湾 瓦赫,3,4,4,21.207,3.317,False,new
贾某 青向 忻州,3,4,4,21.202,2.033,False,new
音视 频部 制作,3,4,4,21.193,4.13,False,new
中下游 西南 华南,3,3,3,21.193,2.342,False,new
配音室 特效 制作,3,3,3,21.193,3.63,False,new
黑 臭 水体,3,5,4,21.19,4.751,False,new
商学院 学生处 任职,3,3,3,21.187,4.143,False,new
食残 渣 铅,3,4,2,21.183,2.337,False,new
净 调入 调出量,3,3,3,21.181,2.595,False,new
大地 万物 繁盛,3,4,4,21.177,3.32,False,new
战术 法兰西 防御,3,3,3,21.175,4.665,False,new
劲儿 丝毫 听,3,3,3,21.174,3.424,False,new
思 所愿 收集,3,3,3,21.169,4.997,False,new
分成 14宗分 地块,3,3,3,21.169,4.434,False,new
柬埔寨 人民党 中央委员,3,6,6,21.161,3.11,False,new
念 北京大学 法学院,3,3,3,21.158,2.962,False,new
中山大學 公管 系,3,4,2,21.149,4.19,False,new
应变局 化危机 全党,3,3,3,21.124,3.54,False,new
五花八门 色彩斑斓 类型,3,4,4,21.121,3.268,False,new
街道 营 商办,3,8,2,21.119,3.032,False,new
白色 运动帽 脸上,3,3,3,21.119,4.2,False,new
悄然 启航 一步步,3,3,3,21.113,4.259,False,new
英 丹 萨拉迪,3,4,4,21.111,2.456,False,new
朱蝉飞 董事会 秘书,3,3,3,21.102,2.453,False,new
董事会 秘书 王建亮,3,3,3,21.102,2.157,False,new
讲 响鼓 重槌,3,3,3,21.092,3.928,False,new
自强 勇 攀,3,3,3,21.087,2.062,False,new
紧逼 直至 抵,3,3,3,21.087,2.602,False,new
米 哈伊尔 鲍特维尼克,3,3,3,21.087,3.878,False,new
自然资源局 江宁 分局,3,4,2,21.084,2.382,False,new
如此 凌厉 decisive,3,3,3,21.075,3.584,False,new
盯住 元旦 春节,3,3,3,21.07,3.674,False,new
防灾 减灾 救灾,3,4,3,21.067,4.425,False,new
南昌队 球员 刘震,3,4,2,21.064,2.274,False,new
丁立人 捂住 面颊,3,3,3,21.064,2.159,False,new
香芽蕉 vs TR4,3,4,4,21.063,3.358,False,new
商及 下发 订单,3,4,4,21.059,2.904,False,new
设备 核级 主泵,3,3,3,21.045,4.3,False,new
防汛 抗旱 总指挥部,3,3,2,21.044,3.719,False,new
内亚姆茨省 办事处 发言人,3,6,6,21.038,2.963,False,new
同心同德 齐心协力 沿着,3,3,3,21.038,3.702,False,new
陈志刚 韩 芳,3,4,4,21.03,2.485,False,new
科学院 学部委员 李国强,3,4,4,21.029,2.169,False,new
卡尔 舒尔茨 弗里德里希,3,3,3,21.025,3.64,False,new
例 侵入 式柔性,3,3,3,21.018,2.766,False,new
农药 减量 增效,3,3,3,21.015,3.642,False,new
動 這次 支教,3,4,4,21.013,2.725,False,new
配合 得当 小卒,3,3,3,21.007,3.303,False,new
立法法 修正案 草案,3,7,2,21.0,5.2,False,new
退回 脱岗 读博,3,4,4,20.998,2.364,False,new
急难 愁 盼,3,3,3,20.996,3.506,False,new
精准 地步步 紧逼,3,3,3,20.992,4.019,False,new
Ding Chilling 情绪,3,3,3,20.984,3.373,False,new
冠军 列冯 ·阿罗尼扬,3,3,3,20.983,3.898,False,new
仿佛 置身 古典,3,6,6,20.978,4.613,False,new
讲话 发人 警醒,3,3,3,20.973,3.2,False,new
交出 亮丽 成绩单,3,4,4,20.967,3.655,False,new
揭 牌 临港,3,3,3,20.964,2.882,False,new
书法 煮 串,3,3,3,20.958,4.104,False,new
寻 回犬 白,3,4,4,20.957,5.039,False,new
检查员 特权 同年,3,3,3,20.954,2.771,False,new
马 轻快 跃,3,3,3,20.951,4.441,False,new
剔除 同业 存单,3,3,3,20.951,2.665,False,new
15日 中办 国办,3,3,3,20.948,3.21,False,new
迎难而上 逆势 打响,3,3,3,20.944,3.957,False,new
Bcl 抑 制剂,3,14,2,20.941,4.343,False,new
同呼吸 共命运 心,3,5,4,20.941,3.48,False,new
四川省 紅原縣 開展,3,4,4,20.941,3.78,False,new
墨子号 焦距 毫米,3,4,2,20.941,2.026,False,new
济南市 章丘区 人民法院,3,4,4,20.934,4.158,False,new
孔 德罡 教授,3,4,2,20.928,3.919,False,new
宣介 会前 与会,3,6,6,20.926,4.155,False,new
涅波 闪身 离开,3,3,3,20.925,4.899,False,new
湃客 新知 栏目,3,3,3,20.923,3.245,False,new
ETF 名列 其间,3,3,3,20.923,3.066,False,new
栋 楼宇 拔地而起,3,6,6,20.919,2.268,False,new
研究员 安德烈 勒杜雷斯库,3,6,6,20.917,2.89,False,new
毕节 七星关 东辰,3,4,2,20.914,2.329,False,new
复杂性 艰巨性 严,3,3,3,20.908,2.35,False,new
徐汇 滨江 问世,3,3,3,20.901,3.144,False,new
起降 无人机 消防,3,3,3,20.896,2.695,False,new
思维 居安思危 未雨绸缪,3,3,3,20.887,4.301,False,new
土壤 源病 原体,3,4,4,20.883,3.681,False,new
PE TTM 大部分,3,3,3,20.874,3.68,False,new
德国 莱茵兰 普法尔茨州,3,3,3,20.87,3.502,False,new
负责人 董某 刘某雨,3,4,4,20.864,3.488,False,new
柔性 电极 神经,3,3,3,20.864,4.719,False,new
曼赫纳村 茶花鸡 保,3,4,4,20.861,3.143,False,new
农业部 测算 得出,3,3,3,20.858,2.698,False,new
侦办 陈某 骅,3,4,4,20.856,2.225,False,new
红 镜 阻光镜,3,10,2,20.844,2.851,False,new
排 时间表 只争朝夕,3,3,3,20.837,3.561,False,new
丹 萨拉迪诺 小时候,3,4,4,20.836,3.798,False,new
团长 柬埔寨 人民党,3,6,6,20.825,2.218,False,new
践行者 勋章 细数,3,3,3,20.814,2.757,False,new
条顿堡 森林 战役,3,3,3,20.803,2.115,False,new
马尔切拉 加内亚 留下,3,6,6,20.801,2.572,False,new
投产 核岛 主,3,3,3,20.8,4.597,False,new
白某 系叶县 某镇,3,3,3,20.8,2.773,False,new
河南 济源人 1951年,3,3,3,20.8,3.243,False,new
母亲 打招呼 脸上,3,3,3,20.793,4.251,False,new
处流 人往高处走 拿,3,4,4,20.787,2.73,False,new
·哈里森 任命 外交官,3,3,3,20.782,2.519,False,new
密度 柔性 电极,3,3,3,20.782,3.191,False,new
委托 剥离 受托人,3,4,4,20.778,4.25,False,new
戴 白色 运动帽,3,3,3,20.776,2.968,False,new
持 仓集 中度,3,6,3,20.775,3.401,False,new
新闻部 总监 港澳台,3,4,4,20.771,2.607,False,new
总监 港澳台 新闻部,3,4,4,20.771,3.122,False,new
港澳台 新闻部 总监,3,4,4,20.771,4.396,False,new
优良 天数 比率,3,3,3,20.769,4.582,False,new
白 格子 看上去,3,3,3,20.764,4.687,False,new
嘱托 磷 化工,3,3,3,20.762,3.231,False,new
超人 克拉克 肯特,3,4,2,20.759,3.066,False,new
医院 教皇 若望,3,3,2,20.758,3.84,False,new
台 华龙一号 核电机组,3,3,3,20.757,4.627,False,new
县长 撤县 设,3,4,4,20.756,4.13,False,new
电生理 专用 芯片,3,3,3,20.741,3.25,False,new
村民 清淤 堆肥,3,3,3,20.733,3.769,False,new
政务处 分法 监察,3,3,3,20.727,2.544,False,new
多样性 food biodiversity,3,4,4,20.726,2.13,False,new
基准 做市 信用债,3,6,3,20.723,3.667,False,new
忻州 师范学院 地理系,3,4,4,20.723,2.533,False,new
法亚 史前 景观,3,6,2,20.717,3.928,False,new
巴黎 埃菲尔 铁塔,3,4,3,20.717,4.356,False,new
验证 原型 试制,3,3,3,20.704,3.058,False,new
国泰 海通 宏观,3,3,3,20.7,3.459,False,new
雪 兰莪 森林,3,6,2,20.698,5.278,False,new
难 治性 心力衰竭,3,3,3,20.698,3.303,False,new
铺设 跨境 油气,3,4,4,20.697,3.642,False,new
违纪 所得已 全额,3,3,3,20.696,4.293,False,new
Bobby Fischer 还有,3,3,3,20.691,4.589,False,new
主观 长端 短端,3,3,3,20.689,3.468,False,new
其实 指翻 毛鸡,3,4,4,20.687,3.5,False,new
獎勵 優秀 孩子,3,4,4,20.686,3.512,False,new
症状 TR 病害,3,4,4,20.685,3.266,False,new
红枣 发糕 铅,3,6,2,20.681,2.337,False,new
一味 责怪 校方,3,4,4,20.679,3.819,False,new
售卖 土鸡 鸡头,3,4,4,20.678,3.138,False,new
业绩 说明会 董事兼,3,3,3,20.672,3.467,False,new
白羽 绿耳 翻毛,3,4,4,20.67,2.068,False,new
围墙 垒筑 费用,3,4,2,20.666,5.312,False,new
索硬化症 ALS 患者,3,4,4,20.662,3.911,False,new
简化主义 抗争 获取,3,4,4,20.661,3.352,False,new
麋鹿 回国 40年,3,3,3,20.656,2.508,False,new
卡尔森 统治 棋坛,3,3,3,20.651,2.411,False,new
专业 摄影棚 配音室,3,3,3,20.651,4.564,False,new
活 動 這次,3,4,4,20.644,3.878,False,new
雅鲁藏布江 下游 水电,3,4,2,20.643,3.952,False,new
攻克 一个个 娄山关,3,3,3,20.641,2.729,False,new
移民 甘愿 赌,3,3,3,20.638,4.918,False,new
举办 飞碟eVTOL 起降,3,3,3,20.628,4.874,False,new
带领 芝加哥 公牛,3,3,3,20.628,2.824,False,new
互通有无 互学 互鉴,3,4,4,20.613,2.082,False,new
国礼 赠送 泰国,3,4,4,20.611,3.746,False,new
贵州 纳 雍某,3,4,4,20.611,2.963,False,new
捷径 唯有 实干,3,5,5,20.609,3.096,False,new
参议院 三分之二 多数票,3,3,3,20.602,2.588,False,new
产 得出 供得,3,3,3,20.6,2.921,False,new
横向部 处长 1992年,3,3,3,20.6,2.377,False,new
江滩 三阳 广场,3,8,5,20.592,4.042,False,new
徐汇 西岸 揭牌,3,3,3,20.591,2.555,False,new
Levon Aronian 直接,3,3,3,20.582,4.701,False,new
驱逐 妖魔 求,3,4,4,20.58,5.058,False,new
象棋 变体 游戏,3,3,3,20.571,5.246,False,new
——不仅 公然 违反,3,3,3,20.569,3.217,False,new
药店 购买市 售,3,4,2,20.557,3.738,False,new
楨學院 紅原 支教,3,4,4,20.551,2.032,False,new
新华 小学 天文台,3,4,2,20.548,3.82,False,new
竭泽而渔 唯 GDP,3,3,3,20.548,3.124,False,new
停止 演奏 贝多芬,3,3,3,20.548,4.153,False,new
处长 横向部 处长,3,3,3,20.545,4.184,False,new
伊斯兰 革命 卫队,3,3,3,20.544,2.049,False,new
严打 民企 内部,3,4,4,20.542,4.03,False,new
母鸡 用作 祭祀,3,4,4,20.54,3.902,False,new
国际象棋 博主 Gothamchess,3,3,3,20.54,2.349,False,new
安吉余村 潘学康 摄,3,3,3,20.537,3.439,False,new
手指 显微 手术,3,4,4,20.536,3.74,False,new
弱化 乃至 失能,3,3,3,20.536,2.397,False,new
如 涓涓 细流,3,3,3,20.529,2.784,False,new
毫米 孔径 毫米,3,10,2,20.527,4.162,False,new
心脏 地带 数百,3,3,3,20.526,3.52,False,new
域 控制器 数量,3,3,3,20.524,4.686,False,new
太湖 溇 港,3,3,3,20.523,3.972,False,new
阿 尔萨斯 洛林,3,3,3,20.521,3.962,False,new
莱安德 罗·拉戈斯 告诉,3,6,6,20.509,2.437,False,new
法庭 辩论 法官,3,4,2,20.509,4.212,False,new
翻译 可见 反德,3,3,3,20.507,2.842,False,new
候选人 赛 这时,3,3,3,20.506,4.292,False,new
器械 型式 检验,3,3,3,20.499,3.709,False,new
社长 杨振武 会见,3,3,3,20.496,4.068,False,new
前去 视察 参观,3,4,4,20.494,2.814,False,new
环环相扣 次第 展开,3,3,3,20.492,4.706,False,new
凝心 铸 魂,3,5,5,20.488,3.272,False,new
申辩 逾期 视为,3,4,4,20.484,3.788,False,new
郑重 宣示 守,3,3,3,20.472,3.672,False,new
西班牙 智库 知华,3,6,6,20.468,2.766,False,new
天水市 麦积 区委,3,6,2,20.466,3.047,False,new
打安镇 镇长 主持,3,3,3,20.463,2.727,False,new
路 安吉余村 潘学康,3,3,3,20.455,2.316,False,new
终身 课题 常修,3,3,3,20.453,2.359,False,new
直立人 头骨 化石,3,3,2,20.452,3.574,False,new
29日 中华人民共和国畜牧法 颁布,3,4,4,20.445,4.447,False,new
操纵 机械手 做出,3,3,3,20.445,4.54,False,new
手中 握有 真理,3,3,3,20.444,4.089,False,new
动 产权证 注销,3,3,3,20.444,5.318,False,new
菜场 门口 出售,3,4,4,20.441,3.142,False,new
七星关 东辰 实验,3,8,2,20.44,3.037,False,new
桂冠 被迫 冒险,3,3,3,20.437,3.123,False,new
供货 商闫 某,3,4,4,20.43,5.043,False,new
承诺 ——不仅 公然,3,3,3,20.43,4.218,False,new
C919 大型 客机,3,3,2,20.43,2.93,False,new
