term,n,freq,doc_freq,PMI,LRent,in_reference,status
"Thật Trở Lại""",3,4,4,19.798,3.127,False,new
"ngỗng quay, mực",3,3,3,19.789,3.396,False,new
Lại Vợ Bầu,3,6,2,19.772,4.621,False,new
Kẻ Trộm Nhựa,3,10,3,19.747,4.002,False,new
Nguồn ảnh: Weibo,3,4,4,19.743,2.839,False,new
Cá Mực Hầm,3,10,4,19.726,3.28,False,new
Town Bãi biển,3,3,3,19.712,4.696,False,new
vùng Comfort Zone,3,4,2,19.68,4.705,False,new
"xôi xoài, xôi",3,3,3,19.668,4.912,False,new
Chung Hán Lương,3,4,3,19.66,4.453,False,new
thời điểm hiện,3,5,5,19.642,4.868,False,new
la Sól Sun,3,7,3,19.639,3.432,False,new
châu Á: Cu,3,3,3,19.631,3.763,False,new
Mực Hầm Mật,3,16,5,19.618,4.636,False,new
Phra Kaew ngôi,3,3,3,19.575,2.461,False,new
Giật gân Diễn,3,3,2,19.55,2.681,False,new
Hữu Kiều Mộc,3,6,2,19.544,4.145,False,new
khóc dở cười.,3,3,3,19.54,3.766,False,new
chùa Phật Ngọc.,3,3,3,19.518,3.181,False,new
Ly Biết Tuốt,3,13,2,19.514,5.722,False,new
sự phát triển,3,3,3,19.505,4.757,False,new
"(Tây Ban Nha),",3,3,3,19.496,2.138,False,new
tờ Business Insider,3,4,3,19.487,4.464,False,new
Yên Phá Nhạc,3,4,2,19.487,4.153,False,new
long bạo chúa,3,3,2,19.461,2.633,False,new
5. Kuala Lumpur,3,3,3,19.444,4.797,False,new
quạt tản nhiệt.,3,3,2,19.442,4.284,False,new
Truy cậpwechoice.vnđể gửi,3,3,3,19.438,4.609,False,new
2P To Be,3,3,2,19.432,4.237,False,new
Chơi Thật Trở,3,8,4,19.43,2.586,False,new
Cẩm Tâm Tựa,3,8,3,19.416,4.508,False,new
"""lấp đầy"" mảng",3,4,2,19.403,3.764,False,new
Đàm Tùng Vận,3,6,3,19.386,4.209,False,new
Moto X Style,3,4,2,19.285,4.505,False,new
"túi vải, thìa",3,3,3,19.263,5.149,False,new
Đôi Mắt Âm,3,11,4,19.258,5.144,False,new
băng vĩnh cửu,3,4,2,19.21,5.025,False,new
Răng Hàm Mặt,3,3,2,19.207,3.925,False,new
One Mount Group,3,4,3,19.202,5.936,False,new
50m súng ngắn,3,4,2,19.196,4.689,False,new
kế: Huyền Sam,3,3,3,19.189,2.164,False,new
cát trắng mịn.,3,3,3,19.169,2.533,False,new
cảm biến vân,3,6,2,19.162,3.228,False,new
Tâm Tựa Ngọc.,3,3,2,19.144,4.248,False,new
vịnh Marina. Điểm,3,3,3,19.143,4.658,False,new
tờ Financial Times,3,3,3,19.13,5.473,False,new
"trái cây, sữa,",3,3,3,19.128,4.605,False,new
"khát khao ""lấp",3,4,2,19.109,2.902,False,new
The Force Awakens,3,3,2,19.109,5.679,False,new
HD (1.920 x,3,3,3,19.103,4.426,False,new
Balade en France,3,3,2,19.081,4.215,False,new
Quốc... 4. Bangkok,3,3,3,19.065,2.156,False,new
"phú, ngon, rẻ",3,3,3,19.065,4.007,False,new
SUV LUX SA2.0,3,3,3,19.029,3.792,False,new
"Ông Sean Myung,",3,3,3,18.99,4.714,False,new
"giãn, thoải mái.",3,3,3,18.962,2.211,False,new
Thổ Nhĩ Kỳ,3,4,3,18.949,5.001,False,new
tất cả các,3,3,2,18.938,5.013,False,new
giờ 9am 8pm,3,3,3,18.933,3.676,False,new
(Ảnh: Viết Thanh),3,11,3,18.92,6.587,False,new
cánh cụt đốm,3,3,3,18.917,4.105,False,new
"Vịnh Hạ Long,",3,4,2,18.914,4.179,False,new
HLV Park Hang-seo,3,8,3,18.907,5.056,False,new
Way of Water,3,4,3,18.88,2.112,False,new
Lan Marta Pałucka,3,3,3,18.824,3.432,False,new
đống đổ nát,3,4,2,18.819,3.931,False,new
Cấn Văn Lực,3,3,3,18.792,2.064,False,new
7/8/2025. Giai đoạn,3,3,3,18.749,4.518,False,new
logo chữ V,3,4,2,18.724,4.45,False,new
"Lý Nhược Đồng,",3,3,3,18.708,5.353,False,new
Hạ Hữu Kiều,3,6,2,18.704,3.907,False,new
Trung. Hong Kong,3,3,3,18.693,2.698,False,new
thở phào nhẹ,3,3,2,18.687,5.083,False,new
"Bồ Đào Nha,",3,3,3,18.671,4.517,False,new
OPPO Find N3,3,22,2,18.664,5.851,False,new
Hoàng Uyên Vy.,3,4,2,18.614,5.631,False,new
Triệu Lộ Tư,3,12,2,18.607,5.531,False,new
dở khóc dở,3,3,3,18.602,4.539,False,new
(Ảnh: Getty Images),3,3,3,18.601,5.576,False,new
"Chiến Trộm Nhựa""",3,4,2,18.582,4.21,False,new
Chiến Trộm Nhựavới,3,3,3,18.582,3.517,False,new
Mang Sân Chơi,3,8,4,18.57,2.816,False,new
Ellen. Khách sạn,3,3,3,18.539,3.423,False,new
"Thay vào đó,",3,5,5,18.537,5.764,False,new
bút S Pen,3,12,2,18.521,4.692,False,new
"trạm xanh, BOO",3,4,2,18.496,5.085,False,new
Nhai Khách(Sơn Hà,3,3,3,18.49,4.515,False,new
"tra, truy tố,",3,4,2,18.437,2.582,False,new
lời rủ rê,3,3,2,18.411,3.84,False,new
"cục Thống kê,",3,3,2,18.406,4.887,False,new
"đảo Tuần Châu,",3,6,2,18.394,4.54,False,new
na ná giống,3,3,3,18.393,4.452,False,new
"Bách Hóa Xanh,",3,3,3,18.355,4.744,False,new
Leuven (Vương quốc,3,3,2,18.349,2.295,False,new
League (Giải Ngoại,3,4,2,18.345,3.951,False,new
Dinh Độc Lập.,3,13,4,18.338,4.947,False,new
En France 2024.,3,3,2,18.333,4.286,False,new
gạo cộiHồng Kim,3,4,2,18.317,5.394,False,new
Ảnh: Warner Bros.,3,6,2,18.312,6.941,False,new
giấc ngủ Earable,3,4,3,18.29,4.108,False,new
vi xử lý,3,3,2,18.282,5.67,False,new
"Mai Triều Nguyên,",3,3,2,18.258,5.462,False,new
sản phẩm này,3,3,3,18.252,5.44,False,new
"khái niệm ""ẩm",3,3,3,18.238,2.933,False,new
Bí Mật Của,3,5,2,18.23,4.919,False,new
"Trở Lại"", nằm",3,4,4,18.224,3.846,False,new
đỉnh triều cường.,3,4,2,18.217,5.037,False,new
"Ngọc Hà, Đen",3,3,3,18.211,4.745,False,new
Kong (Trung Quốc),3,8,2,18.177,3.175,False,new
Sân Chơi Thật,3,8,4,18.177,6.301,False,new
"phong phú, ngon,",3,3,3,18.17,4.933,False,new
ấp ủ giấc,3,3,3,18.161,3.977,False,new
Giới Di Động,3,23,4,18.144,4.4,False,new
Hong Kong (Trung,3,9,2,18.143,4.201,False,new
ngưỡng Grand Palace,3,3,3,18.104,2.935,False,new
"Dinh Độc Lập,",3,6,3,18.086,4.461,False,new
"dục mầm non,",3,4,2,18.084,2.01,False,new
"Thần Tự do,",3,3,3,18.071,5.436,False,new
3. Miami Khung,3,3,3,18.068,5.751,False,new
quá nhiều! Im,3,4,2,18.066,5.178,False,new
Ảnh: Getty Images,3,4,2,18.062,6.284,False,new
"New York Times,",3,4,3,18.062,5.421,False,new
Lệ Nhiệt Ba,3,3,3,18.058,4.429,False,new
Thả Thí Thiên,3,8,2,18.056,4.632,False,new
"mầm non, giáo",3,4,2,18.049,4.297,False,new
"TNHH Mai Nguyên,",3,3,3,18.047,2.221,False,new
đồng/kWh (chưa bao,3,3,2,18.044,2.836,False,new
tỉnh Kiên Giang.,3,3,3,18.038,4.275,False,new
tâm sầm uất,3,3,3,18.03,3.73,False,new
"USB-A Gen 2,",3,3,3,18.025,4.102,False,new
New York Times,3,6,6,18.024,5.595,False,new
Nhâm Chí Kiên,3,13,3,18.011,3.694,False,new
Vitoria Peak cao,3,3,3,18.003,4.25,False,new
phú Jeff Bezos,3,3,3,18.001,3.088,False,new
có cảm biến,3,3,2,17.998,5.629,False,new
chính thức được,3,3,3,17.98,6.628,False,new
sông Cửu Long,3,3,3,17.977,6.29,False,new
sạn sòng bạc,3,3,3,17.973,3.698,False,new
Tiểu Lâm Mộc,3,3,3,17.972,4.81,False,new
"Amazon, lũ lụt",3,4,2,17.971,4.552,False,new
of the Year,3,4,2,17.942,4.334,False,new
bãi biển Boulders,3,3,3,17.942,2.625,False,new
"of the Year""",3,3,3,17.942,4.277,False,new
(Ảnh minh hoạ),3,3,3,17.934,3.204,False,new
Vịnh Hạ Long,3,5,5,17.918,5.196,False,new
CEO Tim Cook,3,4,3,17.914,6.597,False,new
Smartphone gập OPPO,3,5,3,17.908,4.403,False,new
các thị trường,3,3,3,17.904,5.317,False,new
Mối đe dọa,3,3,3,17.888,5.464,False,new
cậpwechoice.vnđể gửi Đề,3,3,3,17.888,2.174,False,new
xanh ngút ngàn,3,3,3,17.886,6.185,False,new
Bồ Đào Nha,3,6,6,17.881,5.667,False,new
"Thạch Thất, Hà",3,3,2,17.871,4.494,False,new
xứ chùa Vàng,3,3,2,17.87,6.067,False,new
Kaew ngôi chùa,3,3,3,17.87,2.269,False,new
Paris Motor Show.,3,4,3,17.857,4.157,False,new
tỉ won (khoảng,3,3,3,17.855,5.448,False,new
won (khoảng tỉ,3,3,3,17.855,3.833,False,new
Pháp Balade En,3,3,3,17.85,3.636,False,new
về. 2. Las,3,3,3,17.846,2.42,False,new
Star Wars: The,3,3,3,17.828,5.11,False,new
"Trần Tiểu Vy,",3,4,4,17.818,5.019,False,new
tuyên bố rằng,3,4,3,17.817,6.764,False,new
lòng. 6. Singapore,3,3,3,17.817,4.079,False,new
Kim Tae Ri,3,4,2,17.8,5.479,False,new
xuyên mâu thuẫn,3,3,2,17.779,4.144,False,new
Internet of Things,3,5,3,17.763,4.495,False,new
"xuất, lắp ráp",3,3,3,17.762,2.723,False,new
bay. 3. Miami,3,3,3,17.758,3.262,False,new
"Paris Motor Show,",3,8,6,17.751,4.968,False,new
"ba, Mexico, Hàn",3,3,3,17.751,3.373,False,new
sầm uất trước,3,3,3,17.721,4.874,False,new
CEO James DeLuca,3,3,2,17.719,5.585,False,new
Mắt Âm Dương,3,10,4,17.692,5.008,False,new
Dinh Độc Lập,3,21,4,17.691,5.275,False,new
WeChoice Awards- Giải,3,3,3,17.68,5.029,False,new
Bà Jenny Đặng,3,4,2,17.671,5.967,False,new
chính thức của,3,3,3,17.665,6.629,False,new
"nhà Empire Sate,",3,3,3,17.649,4.505,False,new
(Show Icon) do,3,3,2,17.647,5.332,False,new
Để Làm Gì,3,13,4,17.646,6.709,False,new
2. Las Vegas,3,3,3,17.638,5.817,False,new
Oxford Word of,3,4,2,17.637,5.525,False,new
(bên trái) trao,3,4,2,17.626,3.669,False,new
rừng xanh ngút,3,3,3,17.626,2.618,False,new
diễn (Show Icon),3,5,3,17.624,5.291,False,new
Đoàn Thiên Ân,3,4,2,17.622,5.07,False,new
vốn dồi dào.,3,3,3,17.621,5.799,False,new
Hùng Mang Sân,3,8,4,17.609,4.72,False,new
"Tiki, song TikTok",3,3,3,17.589,3.483,False,new
mất tật mang.,3,3,2,17.587,5.453,False,new
gây xôn xao,3,4,3,17.585,6.119,False,new
dịchWeDo Cuộc Chiến,3,3,3,17.55,2.603,False,new
đơn khiếu nại,3,3,2,17.545,6.001,False,new
hệ email hanhvithi@admicro.vn,3,3,3,17.541,3.932,False,new
Thiết kế: Huyền,3,3,3,17.538,7.149,False,new
"""Siêu Nhí Anh",3,8,4,17.51,6.216,False,new
Kuala Lumpur Một,3,3,3,17.505,5.117,False,new
"Hòa Lạc, Thạch",3,3,2,17.502,5.578,False,new
rung dạng gimbal,3,3,2,17.489,3.252,False,new
quán quân Rap,3,3,3,17.485,3.18,False,new
soát chặt chẽ.,3,3,3,17.477,2.006,False,new
KTS Nhâm Chí,3,15,3,17.468,5.454,False,new
Hệ Mặt Trời.,3,3,2,17.458,5.455,False,new
"ngại lấm bẩn,",3,4,4,17.456,3.568,False,new
ELLE Fashion Show,3,7,4,17.447,6.54,False,new
được sử dụng,3,3,3,17.42,6.481,False,new
rào cản cũ.,3,3,3,17.418,5.08,False,new
"""WeDo Cuộc Chiến",3,6,2,17.416,3.955,False,new
Phật Ngọc. Từ,3,3,3,17.41,6.106,False,new
"bến cảng, con",3,3,3,17.41,4.828,False,new
"Lê Hồng Phong,",3,3,3,17.389,5.485,False,new
lưu luyến mãi,3,3,3,17.342,7.011,False,new
Samsung Neo QLED,3,5,3,17.339,6.418,False,new
Bí kíp mùa,3,6,3,17.33,6.317,False,new
9am 8pm tại,3,3,3,17.325,5.315,False,new
Word of the,3,6,2,17.323,5.063,False,new
"Bên cạnh đó,",3,3,3,17.316,7.35,False,new
bà Jenny Đặng,3,8,2,17.294,6.477,False,new
Tết Canh Tý,3,5,3,17.282,6.274,False,new
nhất (Grand Prize),3,4,2,17.279,5.225,False,new
khao cháy bỏng,3,4,2,17.27,2.53,False,new
HLV Kim Sang-sik,3,12,8,17.267,5.392,False,new
học KU Leuven,3,3,2,17.263,4.252,False,new
"sâu, vùng xa,",3,3,2,17.252,4.333,False,new
Hong Sang Soo,3,5,2,17.251,6.06,False,new
Chiến Trộm Nhựa,3,4,4,17.247,5.945,False,new
vẹn mùa hè.,3,4,4,17.232,2.332,False,new
Bashar al-Assad ở,3,4,2,17.22,5.343,False,new
mức giá của,3,3,3,17.217,5.978,False,new
Tết Nguyên Đán,3,3,3,17.211,4.748,False,new
Zalo AI Challenge,3,9,2,17.201,4.759,False,new
"khu hầm rượu,",3,3,3,17.181,5.42,False,new
Hồ Chí Minh.,3,8,7,17.154,5.643,False,new
WeDo Cuộc Chiến,3,5,4,17.144,3.816,False,new
đến Botanic Gardens,3,3,3,17.14,5.351,False,new
Tâm Tựa Ngọc,3,6,3,17.128,6.585,False,new
"lai gần, VinShop",3,3,3,17.124,3.232,False,new
"Vương Vũ Thắng,",3,4,3,17.115,4.258,False,new
viên vịnh Marina,3,3,3,17.114,2.767,False,new
ngại lấm bẩn,3,4,4,17.108,4.015,False,new
gân Diễn viên:,3,3,2,17.108,4.752,False,new
Botanic Gardens cũng,3,3,3,17.097,4.249,False,new
"nhôm nguyên khối,",3,3,2,17.091,4.371,False,new
nhà Ecovacs Deebots,3,3,3,17.089,4.505,False,new
ổ cứng SSD,3,5,3,17.087,5.831,False,new
Cuộc Chiến Trộm,3,15,9,17.064,5.125,False,new
Paris Motor Show,3,32,11,17.063,6.07,False,new
Á. 7. Hong,3,3,3,17.062,2.224,False,new
McKinsey Company Việt,3,4,2,17.06,2.087,False,new
Trúc xa xôi,3,3,3,17.053,3.867,False,new
Phạm Nhân Thọ,3,5,2,17.048,4.928,False,new
Miss Grand International.,3,7,4,17.044,5.642,False,new
đích phô trương,3,3,2,17.037,4.357,False,new
"nữ thoát y,",3,4,2,17.023,4.925,False,new
"Bí thư, Chủ",3,5,2,17.021,3.998,False,new
Mai Triều Nguyên,3,5,5,17.009,6.481,False,new
thăm Bảo tàng,3,3,3,17.004,3.61,False,new
Tết Nguyên đán,3,7,6,16.988,5.48,False,new
châu Âu (EU),3,6,6,16.974,4.4,False,new
"MP, camera selfie",3,4,3,16.96,4.209,False,new
"Trở Lại"" cảm",3,4,4,16.938,4.633,False,new
hơn NHƯ THẾ,3,4,2,16.929,6.585,False,new
Nhí Anh Hùng,3,8,4,16.928,2.686,False,new
Thân Ái Chí,3,3,2,16.928,4.65,False,new
gã khổng lồ,3,35,17,16.918,6.277,False,new
khủng long bạo,3,3,2,16.916,6.071,False,new
cuống cuồng tìm,3,3,2,16.896,4.415,False,new
môn Ngữ văn.,3,3,2,16.896,5.389,False,new
"bơ, kem hay",3,3,3,16.895,5.539,False,new
đối với các,3,5,4,16.887,5.927,False,new
"Tổng Bí thư,",3,5,2,16.884,5.558,False,new
"thịt bò,... Không",3,3,3,16.883,6.354,False,new
Tờ FT nhận,3,4,2,16.882,6.313,False,new
nguồn tin nội,3,4,4,16.877,3.195,False,new
"chí mãnh liệt,",3,3,3,16.871,3.643,False,new
"lành, xanh mát",3,3,3,16.867,3.909,False,new
Trộm Nhựavới mục,3,3,3,16.861,3.821,False,new
ngày 7/8/2025. Giai,3,3,3,16.859,4.775,False,new
6. Singapore Singapore,3,3,3,16.855,6.459,False,new
đắc cử Donald,3,4,2,16.85,3.511,False,new
gập OPPO Find,3,5,3,16.84,3.174,False,new
Tiếng ồn trắng,3,4,2,16.84,6.01,False,new
mới: 1. New,3,3,3,16.839,3.586,False,new
Thể loại: Hành,3,4,3,16.837,5.204,False,new
Thanh Hải (Hải,3,3,2,16.836,4.809,False,new
"“thiên thời, địa",3,3,2,16.826,4.326,False,new
đẹp rạng ngời,3,3,3,16.823,4.763,False,new
mối đe dọa,3,13,10,16.822,6.881,False,new
7. Hong Kong,3,3,3,16.821,5.116,False,new
hậu Colombia María,3,3,2,16.811,3.481,False,new
"đó, Larry Page",3,4,2,16.791,4.755,False,new
"Duy Đông, Thứ",3,4,2,16.79,6.017,False,new
miền Tổ quốc.,3,3,3,16.783,6.174,False,new
Nữ Thần Tự,3,3,3,16.771,5.998,False,new
NTK Ngô Hoàng,3,3,2,16.765,5.236,False,new
song TikTok Shop,3,3,3,16.762,5.818,False,new
Miami Khung cảnh,3,3,3,16.748,6.458,False,new
"phái, chuẩn mực",3,4,4,16.72,2.384,False,new
Phùng Tuấn Đức,3,4,2,16.71,4.975,False,new
Y Dược TP.HCM,3,4,2,16.71,6.093,False,new
Kho bạc Nhà,3,4,2,16.706,4.943,False,new
Bão Idai ở,3,4,2,16.701,6.398,False,new
Thanh Thanh Huyền.,3,3,2,16.701,4.809,False,new
bố đẫm máu,3,5,3,16.689,4.622,False,new
Intel Core M,3,3,2,16.673,5.733,False,new
Robot hút bụi,3,6,4,16.671,5.222,False,new
Johnathan Hạnh Nguyễn,3,6,2,16.668,4.943,False,new
rẻ. Đồ ăn,3,3,3,16.66,6.066,False,new
"Ngôn ngữ Anh,",3,3,2,16.655,5.971,False,new
"mãnh liệt, quyết",3,3,3,16.653,5.049,False,new
tiếng reo hò,3,5,2,16.645,5.088,False,new
"France"" (Lễ hội",3,4,4,16.64,5.491,False,new
hoá Hong Kong,3,3,3,16.613,4.197,False,new
lặn lội sang,3,3,3,16.613,6.623,False,new
"trật tự, an",3,3,2,16.599,4.251,False,new
Hàn Quốc... 4.,3,3,3,16.597,8.101,False,new
tin nội bộ,3,3,3,16.585,5.679,False,new
lệch múi giờ,3,4,4,16.581,6.193,False,new
A9 Pro (2018),3,4,3,16.574,4.331,False,new
Kim Hee Sun,3,4,2,16.574,6.199,False,new
biển thơ mộng,3,3,3,16.568,5.738,False,new
TP. Hồ Chí,3,14,8,16.566,5.605,False,new
"hứng, nhiệt huyết",3,3,3,16.566,3.405,False,new
Miss Grand International,3,17,5,16.564,6.68,False,new
"ngũ cốc, trái",3,3,3,16.56,4.487,False,new
Năng lực Cạnh,3,3,3,16.555,3.872,False,new
trường Marie Curie,3,4,2,16.546,3.86,False,new
"Hồ Chí Minh,",3,7,6,16.526,6.132,False,new
khát khao cháy,3,4,2,16.514,5.919,False,new
Vina chi nhánh,3,4,4,16.513,2.823,False,new
"""Điều chỉnh thói",3,5,3,16.5,2.296,False,new
"Âu, cháy rừng",3,4,2,16.497,4.016,False,new
"truy tố, xét",3,4,2,16.496,6.524,False,new
chiêm ngưỡng Grand,3,3,3,16.495,5.054,False,new
"Xuân Son, chúc",3,3,2,16.486,5.528,False,new
"Hồ Ngọc Hà,",3,7,7,16.484,5.872,False,new
"năm ""Annus horribilis"".",3,4,2,16.474,4.729,False,new
viên gạo cội,3,4,4,16.467,3.807,False,new
Mọi thắc mắc,3,4,4,16.453,6.83,False,new
Thế Giới Di,3,25,4,16.446,5.775,False,new
"thư giãn, thoải",3,3,3,16.446,4.189,False,new
Chưa Phải Là,3,7,2,16.44,6.883,False,new
hút bụi lau,3,4,3,16.43,3.174,False,new
Nguồn ảnh: Tổng,3,4,4,16.416,5.57,False,new
khóa vĩnh viễn,3,4,2,16.405,5.495,False,new
khe cắm thẻ,3,4,4,16.405,6.276,False,new
Mỹ Donald Trump,3,4,4,16.399,6.441,False,new
Bãi biển tuyệt,3,3,3,16.398,2.868,False,new
2023. Đêm Gala,3,5,5,16.397,2.544,False,new
lau nhà Ecovacs,3,4,3,16.396,2.824,False,new
Las Vegas Nếu,3,3,3,16.391,5.402,False,new
bão nhiệt đới,3,4,2,16.378,4.341,False,new
hết 14/9/2025. Lễ,3,3,3,16.377,5.948,False,new
Huy chương Bạc,3,5,3,16.375,4.717,False,new
nỗi sợ hãi,3,3,3,16.361,5.538,False,new
hài lòng. 6.,3,3,3,16.352,7.44,False,new
mình bứt phá”,3,3,2,16.331,4.551,False,new
Singapore Singapore xứng,3,3,3,16.33,3.663,False,new
chống va đập,3,3,2,16.319,6.451,False,new
Tam Á (Trung,3,4,4,16.311,3.397,False,new
Ảnh minh họa:,3,3,2,16.307,4.96,False,new
phố nhộn nhịp,3,3,3,16.307,4.537,False,new
"chí kiên cường,",3,4,3,16.306,3.643,False,new
"Bộ, ngành, địa",3,4,2,16.294,4.905,False,new
chip Qualcomm Snapdragon,3,3,3,16.29,6.528,False,new
"miền đông Australia,",3,4,2,16.287,4.332,False,new
Phạm Nhật Vượng,3,6,4,16.278,5.771,False,new
quây quần bên,3,3,3,16.266,5.0,False,new
"đầy"" mảng xanh",3,4,2,16.25,3.91,False,new
Đoàn Văn Hiểu,3,6,2,16.248,5.619,False,new
Trịnh Văn Quyết,3,7,2,16.246,4.066,False,new
Ba Lan Marta,3,4,3,16.244,4.841,False,new
"Myung, Giám đốc",3,4,4,16.241,3.933,False,new
tiếng hò reo,3,3,2,16.24,4.283,False,new
Tây Ban Nha.,3,8,5,16.238,5.838,False,new
hạng Cricket Ấn,3,4,2,16.23,4.583,False,new
châu Âu. Nền,3,3,3,16.23,5.115,False,new
The Rise of,3,4,2,16.229,8.212,False,new
Galaxy A7 (2018),3,14,5,16.228,7.082,False,new
Vua phá lưới,3,7,5,16.221,5.872,False,new
loài khủng long,3,3,3,16.207,5.489,False,new
lãm “Giao lộ,3,6,3,16.204,4.798,False,new
cảnh Las Vegas,3,3,3,16.202,5.404,False,new
khen đảo Tuần,3,4,2,16.201,4.141,False,new
thất bại 2-3,3,3,3,16.2,5.887,False,new
Huỳnh Hiểu Minh,3,7,4,16.18,7.008,False,new
trữ đám mây,3,8,3,16.177,3.755,False,new
A7 (2018) có,3,4,2,16.176,5.046,False,new
Galaxy Z Fold,3,8,2,16.175,6.456,False,new
The Coffee House.,3,4,4,16.175,5.274,False,new
Kuala Lumpur chính,3,3,3,16.175,4.909,False,new
"khác, Samsung sẽ",3,4,2,16.167,4.259,False,new
ngôi chùa Phật,3,3,3,16.165,5.9,False,new
vật hoang dã,3,17,6,16.164,6.159,False,new
Galaxy Z Fold5,3,7,4,16.163,6.145,False,new
The Coffee House,3,68,6,16.16,7.765,False,new
Center... Du khách,3,3,3,16.154,2.594,False,new
mưa nặng hạt,3,3,2,16.153,5.865,False,new
"Smart Choice Awards,",3,6,5,16.152,5.309,False,new
lời khen ngợi.,3,4,4,16.15,4.813,False,new
hay rượu vang.,3,3,3,16.141,6.749,False,new
rút lui khỏi,3,3,2,16.14,7.946,False,new
Intel Core Ultra,3,10,5,16.139,7.067,False,new
"nhí anh hùng""",3,4,3,16.135,2.694,False,new
ngủ. Du lịch,3,3,3,16.133,4.75,False,new
Vụ trưởng Vụ,3,4,2,16.13,4.519,False,new
"xanh, BOO mong",3,4,2,16.125,4.753,False,new
kíp mùa thi.,3,3,2,16.123,4.247,False,new
Thị Thu Thủy,3,3,2,16.116,5.523,False,new
The Way of,3,7,3,16.112,8.212,False,new
"ngày 14/7/2019. ""Siêu",3,4,4,16.112,5.643,False,new
“Vươn mình bứt,3,3,2,16.108,2.379,False,new
"trị, Ban Bí",3,3,2,16.105,3.279,False,new
"Tây Ban Nha,",3,10,9,16.103,5.886,False,new
"ná giống nhau,",3,3,3,16.103,3.895,False,new
"kích thước inch,",3,6,2,16.098,5.764,False,new
dinh dưỡng nghiêm,3,3,2,16.095,4.738,False,new
lá cờ Tổ,3,3,2,16.074,4.058,False,new
bằng sông Cửu,3,6,5,16.071,6.64,False,new
"The Coffee House,",3,8,6,16.069,6.162,False,new
hoang dã nguy,3,4,2,16.057,3.897,False,new
"Mai, Hà Nội.",3,3,2,16.054,4.481,False,new
